stream_id,checkpoint,processed,exact,estimate
8,12,5200001,499984,470797
8,13,5600001,499994,470810
8,14,6000001,499999,470817
8,15,6400001,500000,470817
8,16,6800001,500000,470817
8,17,7200001,500000,470817
8,18,7600001,500000,470817
8,19,8000001,500000,470817
8,20,8400001,500000,470817
8,21,8800001,500000,470817
8,22,9200001,500000,470817
8,23,9600001,500000,470817
8,24,10000000,500000,470817
9,0,400001,275316,260460
9,1,800001,398812,380677
9,2,1200001,454498,431170
9,3,1600001,479602,453514
9,4,2000001,490917,463549
9,5,2400001,495948,467891
9,6,2800001,498152,469748
9,7,3200001,499159,470773
9,8,3600001,499627,471261
9,9,4000001,499848,471432
9,10,4400001,499933,471515
9,11,4800001,499969,471546
9,12,5200001,499985,471549
9,13,5600001,499994,471560
9,14,6000001,499999,471594
9,15,6400001,499999,471594
9,16,6800001,500000,471594
9,17,7200001,500000,471594
9,18,7600001,500000,471594
9,19,8000001,500000,471594
9,20,8400001,500000,471594
9,21,8800001,500000,471594
9,22,9200001,500000,471594
9,23,9600001,500000,471594
9,24,10000000,500000,471594
10,0,400001,275050,259392
10,1,800001,398706,379121
10,2,1200001,454411,428326
10,3,1600001,479508,451057
10,4,2000001,490809,461117
10,5,2400001,495893,465926
10,6,2800001,498128,468061
10,7,3200001,499120,469029
10,8,3600001,499598,469478
10,9,4000001,499823,469661
10,10,4400001,499913,469724
10,11,4800001,499963,469766
10,12,5200001,499986,469810
10,13,5600001,499993,469810
10,14,6000001,500000,469824
10,15,6400001,500000,469824
10,16,6800001,500000,469824
10,17,7200001,500000,469824
10,18,7600001,500000,469824
10,19,8000001,500000,469824
10,20,8400001,500000,469824
10,21,8800001,500000,469824
10,22,9200001,500000,469824
10,23,9600001,500000,469824
10,24,10000000,500000,469824
11,0,400001,275416,261427
11,1,800001,399169,380287
11,2,1200001,454700,429439
11,3,1600001,479608,451673
11,4,2000001,490773,461737
11,5,2400001,495762,466320
11,6,2800001,498121,468525
11,7,3200001,499198,469495
11,8,3600001,499637,469889
11,9,4000001,499841,470077
11,10,4400001,499931,470181
11,11,4800001,499972,470219
11,12,5200001,499991,470231
11,13,5600001,499996,470240
11,14,6000001,500000,470246
11,15,6400001,500000,470246
11,16,6800001,500000,470246
11,17,7200001,500000,470246
11,18,7600001,500000,470246
11,19,8000001,500000,470246
11,20,8400001,500000,470246
11,21,8800001,500000,470246
11,22,9200001,500000,470246
11,23,9600001,500000,470246
11,24,10000000,500000,470246
12,0,400001,275275,260504
12,1,800001,399062,381539
12,2,1200001,454311,430616
12,3,1600001,479233,453117
12,4,2000001,490633,463927
12,5,2400001,495811,468672
12,6,2800001,498126,470750
12,7,3200001,499154,471655
12,8,3600001,499613,471978
12,9,4000001,499832,472211
12,10,4400001,499919,472282
12,11,4800001,499963,472327
12,12,5200001,499982,472335
12,13,5600001,499991,472341
12,14,6000001,499997,472349
12,15,6400001,499998,472349
12,16,6800001,499999,472349
12,17,7200001,499999,472349
12,18,7600001,500000,472349
12,19,8000001,500000,472349
12,20,8400001,500000,472349
12,21,8800001,500000,472349
12,22,9200001,500000,472349
12,23,9600001,500000,472349
12,24,10000000,500000,472349
13,0,400001,274654,261530
13,1,800001,398700,380572
